teacher,Question,Answer
권혜정,시속3km로 걸은 시간을 x로 두고 2km로 걸은 시간을 y로 둔다면 x+y=3  이고 거리는 속력×시간이니까 3x+2y=8 이라고해서 연립으로 풀면 될것같은데  맞나요? 틀렸다면 시속3km로  걸은 시간을 ×로 두었을 때의 올바른 연립방정식을 알고싶습니다,"안녕하세요~조교쌤이에요~
 시속3km로 걸은 시간을 x로 두고 2km로 걸은 시간을 y로 둔다면 x+y=3  이고 거리는 속력×시간이니까 3x+2y=8 이라고해서 연립으로 풀면 될것같은데  맞나요? 틀렸다면 시속3km로  걸은 시간을 ×로 두었을 때의 올바른 연립방정식을 알고싶습니다
 "
권혜정,25일 모두 된다하여28일 다시 구매했는데 꼭 필요한 닮은 피타고라스가 안되어 있습니다. ,"안녕하세요~조교쌤이에요~
우리 학생 질문보고 담당자분께 확인해서 올려드린 답변이였는데, 다시 한번 확인해서 답변 드릴께요ㅜㅠ "
권혜정,"안녕하세요~
수학 담당자 인데요~
조교쌤이 금일 업데이트 된다고 하신건~
회원님께서 원하시던 도형의 닮은 부분 24,25,26강이였구요.
 ","(3x-2y)(5x+4y) - (2x-5y)(2x+5y)+(x-y)의2제곱= (A곱하기x의2제곱)+(Bxy)+(C곱하기 y의 2제곱)
일때 A+B+C의 값이 30 이라는데 아무리 계산해봐도 32가 나오는데 어떻게 풀어야 하나요?ㅠㅠ"
권혜정,안녕하세요~조교쌤이에요~,재미있어요 
권혜정,"0.122212212212는 기호를써서 어떻게 표현하나요?
 0.122 2(점)1(점)2(점)인가요?","안녕하세요~조교쌤이에요~
0.122212212212가 순환소수가 아니라면,
그냥 그대로
0.122212212212로 표현해주시는게 맞습니다~ "
권혜정,"선생님 수정했습니다...ㅠㅜ죄송합니다ㅜㅠ
궁금한게 있는데 A급 문제를 풀때
구하는데 오래걸리는 문제가 있는데
특히 41쪽 35번 (2)번 같은 경우는
일일이 구하면 오래 걸리는데 어떡해야 할까요??","안녕하세요~조교쌤이에요~
우리학생 얘기해준 41쪽에는 50번이 없는데
교재명과 페이지 번호 확인 부탁해요~"
권혜정,"9.999999999999999999999999999999999999999999는
.
9로표기하나요?
 ","안녕하세요~조교쌤이에요~
이 됩니다.
무한 소수가 아니라면,"
권혜정,"71쪽 7,8번좀 도와주세요.... 잘 안풀려서요 ","안녕하세요~조교쌤이에요~
7번
연속하는 두 홀수는
2차이가 나므로
작은 홀수를 x라고 한다면, 큰 홀수는 x+2라 할 수 있어요."
권혜정,"선생님! 저번에 질문 잘못올린 학생입니다!
A급 문제를 풀때
구하는데 오래걸리는 문제가 있는데
특히 41쪽 35번 (2)번 같은 경우는
일일이 구하면 오래 걸리는데 어떡해야 할까요??","안녕하세요~조교쌤이에요~
처음에 문이 모두 닫혀있고,
50회까지 실행했을때는,
1의 배수는 1X50(50번을 열고 닫는게 반복)이므로 닫혀있고,
2의 배수는 2X25(25번을 열고 닫는게 반복)이므로 열려있습니다."
권혜정,"안녕하세요. 이 부분은 선생님께서 설명을 안하신 부분인데요, 궁금해서 글 올립니다.
핵심개념정리 [7.순환소수의 응용]에서 3번에 보면
'어떤 기약분수가 소수점 아래 첫째 자리부터 순환마디가 되기 위해서는 분모에 소인수 2와 5가 없어야 한다'고
되어 있는데 왜 그런지 증명해 주시면 감사하겠습니다. ","안녕하세요~조교쌤이에요~
 순환소수를 분수로 바꾸었을 때 소수첫째자리에서 부터 순환마디가 시작되지 않는다면,
분모의 일의자리가 0이 됩니다.
 "
권혜정,"선생님 저 궁금 한게 있는데 답변 좀 해주세요
48/2(4*3)
이건 답이 2하고288이 나오는데 어떤게 맞는거예요?
알려주세요 ㅠㅠ ","안녕하세요~조교쌤이에요~
이 문제가 맞나요?
2입니다~ "
권혜정,"분모의 소인수 중에 2나 3 이외의 소인수가 있으면
그 분수는 순환소수로 나타낼 수 있다
라고 하는데 왜 이때 무한소수가 아니고
순환소수이라고 하는거죠?? 비순환소수는 나오지 않나요?","안녕하세요~조교쌤이에요~
기약분수의 분모를 소인수분해했을 때,
2나 5외의 수가 있으면,
순환소수가 됩니다.
 "
권혜정,"Lecture 4에 28쪽의 유형29번의 51번하고52번하고 문제 해설 부탁드립니다.
그리고, 29쪽의 유형32번의 60,61,62번도 해설 같이 부탁드려요.
아무리 해설을 보고 부모님이나 친구들에게 물어봐도 도저히 이해가 않가요...
부탁드릴께요.
감사합니다. ","안녕하세요~조교쌤이에요~
유형중심 1-상 28페이지 51번"
권혜정,"4단원 문자와 식 단원의 Lecture 12에유형 7번의 47과 48번 문제 해설 부탁드려요.
그리고 유형 8번에 52번 문제 해설 부탁드려요.
유형 7번은 전부 이해가 않 가네요... ","안녕하세요~조교쌤이에요~
우리학생 한질문당 한개의 질문만 가능해요~
대답하다 용량부족이 되는 경우가 많아서 우선 한문제씩 답해드릴께요~
다시 한번 질문 부탁해요~
 "
권혜정,"0.122212212212는 기호를써서 어떻게 표현하나요?
 0.122 2(점)1(점)2(점)인가요?","안녕하세요~조교쌤이에요~
0.122212212212가 순환소수가 아니라면,
그냥 그대로
0.122212212212로 표현해주시는게 맞습니다~ "
권혜정,"선생님 수정했습니다...ㅠㅜ죄송합니다ㅜㅠ
궁금한게 있는데 A급 문제를 풀때
구하는데 오래걸리는 문제가 있는데
특히 41쪽 35번 (2)번 같은 경우는
일일이 구하면 오래 걸리는데 어떡해야 할까요??","안녕하세요~조교쌤이에요~
우리학생 얘기해준 41쪽에는 50번이 없는데
교재명과 페이지 번호 확인 부탁해요~"
권혜정,"9.999999999999999999999999999999999999999999는
.
9로표기하나요?
 ","안녕하세요~조교쌤이에요~
이 됩니다.
무한 소수가 아니라면,"
권혜정,"71쪽 7,8번좀 도와주세요.... 잘 안풀려서요 ","안녕하세요~조교쌤이에요~
7번
연속하는 두 홀수는
2차이가 나므로
작은 홀수를 x라고 한다면, 큰 홀수는 x+2라 할 수 있어요."
권혜정,"선생님! 저번에 질문 잘못올린 학생입니다!
A급 문제를 풀때
구하는데 오래걸리는 문제가 있는데
특히 41쪽 35번 (2)번 같은 경우는
일일이 구하면 오래 걸리는데 어떡해야 할까요??","안녕하세요~조교쌤이에요~
처음에 문이 모두 닫혀있고,
50회까지 실행했을때는,
1의 배수는 1X50(50번을 열고 닫는게 반복)이므로 닫혀있고,
2의 배수는 2X25(25번을 열고 닫는게 반복)이므로 열려있습니다."
권혜정,"안녕하세요. 이 부분은 선생님께서 설명을 안하신 부분인데요, 궁금해서 글 올립니다.
핵심개념정리 [7.순환소수의 응용]에서 3번에 보면
'어떤 기약분수가 소수점 아래 첫째 자리부터 순환마디가 되기 위해서는 분모에 소인수 2와 5가 없어야 한다'고
되어 있는데 왜 그런지 증명해 주시면 감사하겠습니다. ","안녕하세요~조교쌤이에요~
 방정식의 해는 하나일 수도, 여러개일 수도 있고, 무수히 많은 방정식, 해가 없는 방정식 이렇게 방정식의 의미로 본다면 항등식은 해가 무수히 많은 방정식에 포함됩니다.
 "
권혜정,50쪽에 유형 9번문제들중에 25 26번 문제가요.... 색칠한 부분의 넓이를 어떻게 구하는 건지 모르겠어요... 색칠한 부분 넓이를 어떻게 구하는지 도와주세요ㅜㅜ ,"안녕하세요~조교쌤이에요~
25번은 직사각형 넓이에서 삼각형 3개의 넓이를 빼서 색칠한 부분의 넓이를 구하면 되므로,"
권혜정,"순환소수와 유한소수는 유리수인가요?
모든 순환소수는 분수로 표현핳수있나요?","안녕하세요~조교쌤이에요~
유한소수는 분모를 10의 거듭제곱의 꼴로 바꿔서 분수로 표현할 수 있습니다.
또한 예를 들어"
권혜정,"연립방정식과 일차함수 문제를 많이 틀려요 ㅠㅠ
복습도 하는데 왜 그런걸까요?
ㅠㅠㅠ","안녕하세요~조교쌤이에요~
많이 연습을 해도 자꾸 오답이 나온다고 하니 선생님도 마음이 아프네요ㅜㅠ
하지만, 식까지 옳게 세웠는데도 오답이 나온다면,
연립방정식을 구하는 식을 여러번 연습하고,
복잡한 식의 해를 구하는 연습을 여러번 해 보시라고 얘기 드릴 수 밖에 없겠네요ㅜㅠ"
권혜정,모든 분수는 소수로 만들었을 때 유한하거나 순환하나요? ,"안녕하세요~조교쌤이에요~
유리수를 소수로 바꿀 때.
소수의 개수가 유한한 유한소수와 소수의 개수가 무한한 무한소수로 나뉘게 되고.
 무한소수 중에서"
권혜정,순환소수를 수직선 위에 어떻게 표시할 수 있나요?,"안녕하세요~조교쌤이에요~
순화소수는 유리수로 바꿀 수 있으므로,
유리수로 바꿔서 수직선에 표시할 수 있겠네요^^ "
권혜정,권태운쌤이란 권혜정쌤 남매 아니죵? 진짜 두분다 설명 짱이시고 진짜 최고에요!! 덕분에 수학을 다시 재밌게 시작하고있어요!! ,"선생님들이 좋아하시겠네요~
우리 학생 열공 화이팅이요~ "
권혜정,"선생님 41족에 11번이 이해가 안되서 질문드려요!
혜정쌤께서 10의 10제곱이 11자리라고 했는데 자릿수 구하는 공식인 A의 자릿수+N하면 10 더하기 10이나까 열두자리 아닌가요?? 헷갈려서요...ㅜㅜ ","안녕하세요~조교쌤이에요~
예를 들어 45X100= 4500"
권혜정,"C 계수가 미지수인 일차부등식 72페이지  첫번째 문제에서요 
 a가0보다 작은 음수이며 앞에 -부호가 붙어있어 양수로 바뀌니 양변을 똑같은  양수인 1/a로 나누면 x는 1/a보다 작다라고 나오는데 왜  x가 -1/a보다 작다가 답인지 이해가 안되요",안녕하세요~조교쌤이에요~
권혜정,28번 51번 문제 풀이 부탁드립니다,"안녕하세요~조교쌤이에요~
유형중심1-1 28쪽 51번 문제인거죠?
 "
권혜정,"90쪽에 18번 문제에서 선생님꼐서 답을 헷갈리신 것
같습니다 ","안녕하세요~조교쌤이에요~
선생님께서 3개 이상의 티켓이 필요하다고 답을 마무리하셨네요.
창구 1개가 더 추가되는것이 맞습니다.
전해드릴께요~
감사해요~"
권혜정,"88쪽 14번에서 P에서 만날 때 왜 부등호가 오른쪽으로
벌어지나요? 늦게 출발해서 이동시간이 짧은
 것은 오른쪽인데 왜 이동시간이 짧은 오른쪽으로 부
등호가 벌어지는지 이해가 안됩니다
 ","안녕하세요~조교쌤이에요~
 식을 시간으로 세우는 게 이해가 되었다면,
민우와 유진이가 P점에서 만날 때 최소의 x가 됩니다.
그러므로 x가 커질수록(유진이가 늦게 나올 수록)으로 식을 세워야하므로 우변으로 부등호가 벌어지게 됩니다."
권혜정,선생님!! 교재 12쪽에 47번 문제요!! 분모 264를 약분하면 2의 3제곱 곱하기 11 곱하기 3이 나오는데...n은 3과 11을 없애줘야 하는거잖아요! n(뭐 예를들어 33이라 했을때)을 곱하면 분모의 3과 11이 동시에 복수적으로 없어질수 있는 건가요...? 갑자기 헷갈려서요ㅜㅜㅜ ,"안녕하세요~조교쌤이에요~
네~맞습니다.
3과 11이 둘다 약분되어야 유한소수가 됩니다.
 기약분수로 만든 후"
권혜정,"18강에서 23분 45초에서 2분 46초로 넘어가는 부분에
화면이 이상해요 왜 그런 거죠??
 ","안녕하세요~조교쌤이에요~
강의 녹화중에 편집이 되면서 연결되면서 조금 이상하게 보일 수 있었겠네요~
 "
권혜정,"교재12쪽 52번 문제 답이
18도 포함하는거 아닌가요?",안녕하세요~조교쌤이에요~
권혜정,"선생님  개념익힘탑  49쪽 64번 을 잘 모르겠어요 알려주세요!!!!!!!!!!!
 ","안녕하세요~조교쌤이에요~
해가 무수히 많은 연립방정식은
두 방정식을 계수나 상수항이 같도록 변형하였을 때, 계수와 상수항이 각각 같은 경우에 해가 무수히 많다고 합니다.
1번 x와 y의 계수가 일치하지만, 상수항이 같지 않기 때문에 해가 없는 경우 입니다.
2번 x=-2, y=3으로 한쌍의 해가 나옵니다."
권혜정,권태운쌤이란 권혜정쌤 남매 아니죵? 진짜 두분다 설명 짱이시고 진짜 최고에요!! 덕분에 수학을 다시 재밌게 시작하고있어요!! ,"선생님들이 좋아하시겠네요~
우리 학생 열공 화이팅이요~ "
권혜정,"선생님 41족에 11번이 이해가 안되서 질문드려요!
혜정쌤께서 10의 10제곱이 11자리라고 했는데 자릿수 구하는 공식인 A의 자릿수+N하면 10 더하기 10이나까 열두자리 아닌가요?? 헷갈려서요...ㅜㅜ ","안녕하세요~조교쌤이에요~
예를 들어 45X100= 4500"
권혜정,"C 계수가 미지수인 일차부등식 72페이지  첫번째 문제에서요 
 a가0보다 작은 음수이며 앞에 -부호가 붙어있어 양수로 바뀌니 양변을 똑같은  양수인 1/a로 나누면 x는 1/a보다 작다라고 나오는데 왜  x가 -1/a보다 작다가 답인지 이해가 안되요",안녕하세요~조교쌤이에요~
권혜정,28번 51번 문제 풀이 부탁드립니다,"안녕하세요~조교쌤이에요~
유형중심1-1 28쪽 51번 문제인거죠?
 "
권혜정,"90쪽에 18번 문제에서 선생님꼐서 답을 헷갈리신 것
같습니다 ","안녕하세요~조교쌤이에요~
선생님께서 3개 이상의 티켓이 필요하다고 답을 마무리하셨네요.
창구 1개가 더 추가되는것이 맞습니다.
전해드릴께요~
감사해요~"
권혜정,"88쪽 14번에서 P에서 만날 때 왜 부등호가 오른쪽으로
벌어지나요? 늦게 출발해서 이동시간이 짧은
 것은 오른쪽인데 왜 이동시간이 짧은 오른쪽으로 부
등호가 벌어지는지 이해가 안됩니다
 ","안녕하세요~조교쌤이에요~
 식을 시간으로 세우는 게 이해가 되었다면,
민우와 유진이가 P점에서 만날 때 최소의 x가 됩니다.
그러므로 x가 커질수록(유진이가 늦게 나올 수록)으로 식을 세워야하므로 우변으로 부등호가 벌어지게 됩니다."
권혜정,선생님! 근데 분모 42의 소인수 중에서 3이 있는데 분자에 있는 15랑 약분을 하면 안되나요? ,"안녕하세요~조교쌤이에요~
우리 학생 어떤 문제인지 책이름과, 페이지 번호를 알려주셔야 정확한 풀이를 해드릴 수 있습니다.
약분이 어떤 상황에서 되는지 안되는지를 알아야 정확히 알려드릴 수 있어요~
물론 약분을 해도 되는 상황이라면,
약분은 됩니다."
권혜정,"17강23번문제
2번 왜 이항이 됬는데 my가 음수로 안바뀌나요??","안녕하세요~조교쌤이에요~
  "
권혜정,"완강 했어요!!!!!!
 잘 이해 안됬던 부분 다시 복습 하고 있어요!!!^^ ","안녕하세요~조교쌤이에요~
우리 학생 멋지네요~
선생님이 너무 기쁘시겠어요~
복습도 꼼꼼하게 화이팅입니다~ "
권혜정,"선생님, 저 질문이 있는데요
9강에 9분 5초쯤에서 두 음수는 작은수가 큰 수고,
큰수가 작은 수라고 하섰잖아요.
그럼 만약에 -5와 +3같은 경우에는 어떤 수가 크고 어떤수가 작은거예요?
그리고 28번 문제에 화성과 목성은 행성인데 문제에는 별이라고 나와 있었어요.","안녕하세요~조교쌤이에요~
음수와 양수는
양수가 음수보다 큰 수입니다.
수직선상에서 오른쪽에 있는 수가 더 큰수입니다. "
권혜정,"선생님 13쪽의 22번 문제 이해가 안돼요ㅠㅠ
 ","안녕하세요~조교쌤이에요~
x의 소인수 중에서 가장 큰ㄴ 수를<x>라 한다고 했어요.
x의 약수 중 소수인 수 중 가장 큰 수이므로
13의 약수는 1,13 중 소인수는 13
14의 약수는 1, 2, 7, 14 중 소인수는 2, 7"
권혜정,"선생님 에이급 강의 들으면서
수학이 넘 재밌어졌어요
저 이제 강의가 벌써 4개
밖에 안남았네요
그동안 감사했습니다~~^^ ","안녕하세요~조교쌤이에요~
우리학생 선생님께서 정말 행복하시겠어요~
마지막까지 화이팅이에요~ "
권혜정,"28쪽에 50번..!!!!!
강의 찾아도 안보이고
답은  계속 오답이 나오고
설명해주세요 ㅠㅠ ","안녕하세요~조교쌤이에요~
어떤 수를 15, 16, 18로 나누면 모두 3이 남는다고 했으므로,
어떤 수는 15, 16, 18의 공배수에 3을 더한 수가 됩니다.
가장 작은 세 자리 자연수라고 했으므로
15, 16, 18의 최소공배수는 720"
권혜정,아무리 계산해도 30이 답으로 나오는데 답지는 28이라고 하네요ㅜ 답지도 이해 안되고 설명도 없어서 모르겠어요..,안녕하세요~조교쌤이에요~
권혜정,"쌤 1단원 잘 배워씀니닿ㅎ 제 인생에 도움이 될것 
샅습니다! 화이팅~
 ","안녕하세요~조교쌤이에요~
우리 선생님께서 너무 행복하시겠네요~
앞으로도 열공해주세요~ "
권혜정,k값의 범위가 1부터 4까지가 나와서 답이 이해가 안 됩니다.설명 부탁드립니다. ,안녕하세요~조교쌤이에요~
권혜정,"마이너스 사분의삼 A더하기 A가 왜 사분의 일A가 
되는지 모르겠어요ㅠㅠ ",안녕하세요~조교쌤이에요~
권혜정,"학원 2학년 1학기 교재에는 곱셈공식이 나오는데 왜 이 강좌에는 없는건가요?
개정되면서 곱셈공식이 없어진건가요?                                  ","안녕하세요~조교쌤이에요~
중2에서 중3으로 개정판부터 이동했습니다.
미리 선행했다면, 잊지 말고 연습해두도록 해요^^ "
권혜정,"35강 17분16초에 2번문제 답이 정답이2개라고 써있는데
강의에서 답이 하나밖에 안나왔어요 ","안녕하세요~조교쌤이에요~
1번에 대각선의 개수에서
 "
권혜정,"투탑 개념 익힘탑 문제집 중에 19페이지 실전연습문제 중에서 2번문제 있잖아요 거기에서 문제 풀이에 인수 분해? 그런걸 하는데 인수 분해 어떻게 하는건지 알려주세요ㅠㅠ
제 기억으로는 인수분해를 배운적이 없었습니다.....인수분해 하는방법 알려주세여 ","안녕하세요~조교쌤이에요~
지수법칙을 말하는 거죠?"
권혜정, ,"질문이 안보여요~
다시 한번 남겨주세요~~ "
권혜정,,"안녕하세요~조교쌤이에요~
  "
권혜정,"안녕하세요 이제 중1이 되는 학생입니다
선생님 강의 잘 듣고 있습니다.
제 중학교 수학 교과서가 비상교육(김원경)인데 
EBS에서 아무리 찾아봐도 없더라고요....
어떤 수업을 듣는게 가장 좋을까요? 강좌","안녕하세요~^^
선생님 강의를 잘 듣고 있다니 고마워요!!
 수학은~ 교과서별로 단원의 내용에 차이가 거의 없어서 교과서별 강좌를 진행하지 않아요!
물론 비상교육 교과서라고 해서, 꼭 비상꺼만 들을 필요도 없지요~"
권혜정,소수점 아래 20번째 자리 숫자 구하는 공식이 있나요??,"안녕하세요~조교쌤이에요~
우리학생이 궁금해하는 문제를 알려주면 더 쉽게 설명해줄 수 있어요~
앞으로는 책이름, 페이지, 번호를 알려주세요~
만약 소수점 아래로의 숫자가 반복된다면,
반복이 안되는 수를 빼고,"
권혜정,"김*성님
 오류 맞아요ㅎ
 1번은 y = x-3/2가 아니라","조교쌤이에요~
우리 학생이 질문에 대한 답을 주셨네요~
감사해요~ "
권혜정,"35강 13분 부터 17분 까지 푼 2번 문제에서 정답이 2개
라고 써 있는데 답이 5번 뿐이라고 하셨네요
문제오류인것 같습니다.... ","안녕하세요~조교쌤이에요~
1번에 대각선의 개수에서
 "
권혜정,"안녕하세요 선생님^^*
저는 예비중 1학년 인데요, 질문이 있어요.
 복습을 하다가 유한소수와 무한소수의 개념이 소수점 아래에 0이 아닌 숫자가 유한/무한개인 소수라는 개념을 보게 되었는데요, 저는 이 개념이 소수점 아래에는 무조건 0이 들어가면 안된다는 것처럼 느껴졌습니다.이 게념을 어떻게 해야 더 이해하기 쉬울까요?","안녕하세요~조교쌤이에요~
 무한소수의 개념이 소수점 아래에 0이 아닌 숫자가 무한개인 소수라는 개념은
예를 들어
0.30000000..."
권혜정,"선생님, 29쪽에 62번 해설 부탁드려요. 하루종일 이문제만 풀어도 도저히 모르겠어요ㅜㅜㅜㅜ","안녕하세요~조교쌤이에요~
 하루종일ㅜㅠ
 24, 36, A의 최대공약수는 12라고 했으므로,"
권혜정,"선생님 순환소수에서
  .  .
0.123
같은건 어떻게 읽어요?","안녕하세요~조교쌤이에요~
 순환소수를 순환마디 위에 점을 찍어서 나타내는 방법을 나타낼 뿐 읽는 방법에 대한 명확한 기준은 없습니다만,
 순환마디를 이용해 순환소수를 읽는 방법은"
권혜정,1학기 강의 다 들어가는데.. 2학기 강의가 없어요. 프리미엄은 다 들을 수 있다고 했는데 강의가 하나도 없는건 이상해서요.  ,"안녕하세요~조교쌤이에요~
교육과정개정으로 인해서 강의를 다시 촬영중이신걸로 알고있어요~
 당장은 복습위주로 공부해보도록 해요~
 "
권혜정,"유형뽀개기 51강 4-1번 문제 식 좀 알려주세요ㅠㅠ
잘 모르겠어요ㅠㅠ ","안녕하세요~조교쌤이에요~
305m가 올라갈수록 온도는 100도에서 1도씩 낮아집니다.
그러므로 1m 올라갈수록 온도는 1/305도씩 낮아지므로,"
권혜정,"교재 35쪽 1번 문제 ㄹ에서는 제곱으로 구하는데
2번 문제에서는 왜 곱을 해서 값을 구하나요? ",안녕하세요~조교쌤이에요~
권혜정,32쪽에 20번 문제 풀어주세요,"안녕하세요~조교쌤이에요~
  "
권혜정,"선생님
에이급 수학 1-1에서
6강 51분 20초에서 
27페이지 24번 문제에﻿﻿﻿서
왜 x값이 9가 되면 안되나요?!?
 ","안녕하세요~조교쌤이에요~
a,b의 최대공약수가 6이고, a는 4의 배수, a는 b이상인 수라고 조건이 나와있어서,
a=6 곱하기 x라고 했을 때,
x가 9가 되면, a는 4의 배수가 될 수 없어요.
그래서 9는 될 수가 없습니다~"
권혜정,"이번 강의 3분 54초에 시작하는 문제는 왜 분모에 2랑
5가 한 개씩 밖에 못들어가나요?ㅠㅠ","안녕하세요~조교쌤이에요~
우리학생이 얘기하는 강의가 몇강일까요?
혹시나 해서 우리학생 마지막 강의가 8강이여서 봤더니, 물어보는 문제는 아닌거 같고,
7강에 그 시간에도 질문하는 문제는 아닌거 같구요ㅜㅠ
 "
권혜정,선생님 저 질문이 있는데요. 20쪽에 46번 하구여 32쪽에 20번 문제좀 풀어주세요,"안녕하세요~조교쌤이에요~
A지점에서 B지점까지의 거리가 36km
B지점에서 C지점까지의 거리가  160km
 가능한한 적게 교통 안전 표지판을 세운다고 했고,"
권혜정,"A-1 문제에서는 제곱으로 구하는데
B-2 문제에서는 왜 곱을 해서 값을 구하나요?
 ","안녕하세요~조교쌤이에요~
페이지 수와 번호를 알려주셔야 답변을 해드릴 수 있어요~
다시 한번 질문 해주세요~ "
권혜정,"선생님, 29쪽에 62번 해설 부탁드려요. 하루종일 이문제만 풀어도 도저히 모르겠어요ㅜㅜㅜㅜ","안녕하세요~조교쌤이에요~
 하루종일ㅜㅠ
 24, 36, A의 최대공약수는 12라고 했으므로,"
권혜정,"선생님 순환소수에서
  .  .
0.123
같은건 어떻게 읽어요?","안녕하세요~조교쌤이에요~
 순환소수를 순환마디 위에 점을 찍어서 나타내는 방법을 나타낼 뿐 읽는 방법에 대한 명확한 기준은 없습니다만,
 순환마디를 이용해 순환소수를 읽는 방법은"
권혜정,"선생님! 36강 14분 35초에 123쪽 a번 문제요..
결론적으로는 답은 5번이기는 한데, 선생님께서
절댓값이 2분의1이 3분의 1보다 작다고 말씀하셨는데,
만약 선생님 말씀이 맞다면 y = -3분의 1x가 절댓값이
더 크니까 5번도 틀린게 되는 데...","안녕하세요~조교쌤이에요~
a의 절댓값 1/2이 1/3보다 더 큰데, 선생님께서 마지막 부분에서 반대로 얘기하셨네요~
1/2이 1/3보다 크므로 y축에 더 가까운게 맞습니다.
헷갈리게해서 죄송해요~
 "
권혜정,"왜 배수를 K라는 문자로 사용하나요?
K의 영어와 한글 뜻이 있나요?","안녕하세요~조교쌤이에요~
어디 부분에서 배수의 약자가 따로 k는 아닌데요.
아마도
2의 배수=2k
3의 배수=3k"
권혜정,"화면이 너무 자주 깨지는 데 이유가 뭘까요...?
배속도 너무 안되고...ㅠㅠ ","안녕하세요~조교쌤이에요~
우리 학생 강의가 자꾸 깨지고, 느려서 강의수강이 힘든가봐요~
여기는 학습문제 Q&A방이여서,
그 부분에 관한 답변은 쌤이 해결해줄수가 없네요ㅜㅠ
고객센터의 FAQ방에 다시한번 문의 해주세요~"
권혜정,"선생님! 그 111쪽 실력 올리기 문제 6번이요...
강의에서는 선생님께서 식을 세울 때 밑의 식에는
y가 없는데 저렇게도 식이 가능한가요?
저는 지금까지 연립방정식 할 때 두개의 식에 x,y무조건 있어야
하는 줄 알고 있었는데 ㅠㅠ","안녕하세요~조교쌤이에요~
두 개의 식에 모두 x,y가 들어갈 필요는 없어요~
위의 식에서 x-y=400으로 식을 세웠기 때문에
밑에 식에서는 y가 빠져도 괜찮습니다.
y를 증발한 물의 양으로 넣었으므로,"
권혜정,"선생님 안녕하세요 강의 잘 듣고 있습니다!
함수쪽에 36강 28분 46초 쯤에 문제에서 함수 f(x) 자연수 x를 4로 나누었을때 나머지 라고 되어있는데...
x를 1이라고 두면 나머지가 1이 나오신다고 하셨는데 그 부분을 잘모르겠습니다.
자세한 설명 부탁드려여 왕따쌤!! ","안녕하세요~조교쌤이에요~
우리학생이 질문한 강의가 36강이 맞을까요?
적어준 시간에는 학생이 질문한 문제가 없네요~(혹시나 해서 18분, 8분, 다른 함수강의 28분도 찾아봤는데, 없어요ㅠㅠ)
다시한번만 질문해주세요~ "
권혜정,민우의 속력에서 왜 x/60을 빼야 하나요????저는 그걸 모르겠어요......ㅠㅠㅠ,"안녕하세요~조교쌤이에요~
민우가 만약 10분을 갔고,
유진이가 2분 뒤에 출발을 했다면,
민우는 12분을 갔고, 유진이는 10분을 간것이 됩니다.
 "
권혜정,"선생님 ㅠㅠ 시간 속력 거리나 소금물 같은 문제 유형에서 식을 잘 못 세우겠어묘..,.,.. 식 잘 세울 수 있는 팁 없나요?ㅜㅜㅠ ","안녕하세요~조교쌤이에요~
초등과정에서 배웠던 비와 비율에서
비교하는 양과 기준량이 있었는데 혹시 기억할까요?
 속력이나 농도에서의 기준량과 비교하는 양을 알고 문제에 접근하면 조금 더 쉽게 식을 세울수가 있어요."
권혜정,안녕하세요 선생님 풀이과정 마지막부분에 xy+yz+zx/xyz=0 에서 분모가 아닌 분자만 0이라고 알려주셨는데 왜 그런건가요? 너무 쉬운 질문인것 같아 쑥스럽지만 꼭 알려주시길 바랄게요ㅠㅠ 1학년때부터 쌤 팬이였어요ㅠㅜ♡,"안녕하세요~조교쌤이에요~
잘 알던 부분도 헷갈릴때가 있죠~
  분모는 0이 안된다는 정의에 의해"
권혜정," .
.  . 을 답 쓸때 왜 쓰나요?","안녕하세요~조교쌤이에요~
의 기호는
그러므로
라는 뜻이에요~ "
권혜정,"선생님 17페이지에 14, 15, 16, 17 번이 이해가 안가요ㅜㅠㅜㅠㅜㅠ
강의 영상에서 나왔던 부분인데
영상에서 2가왜 2개인지 또 5는 왜 1개인지 모르겠어요.. ","안녕하세요~조교선생님이에요~
소인수분해를 이용하여 최대공약수 구하는 방법은
소인수분해 되어있는 두개 이상의 수에서
소인수가 겹치는 것을 찾아주면 됩니다.
 "
권혜정,"선생님 고등학교때 나오는
방정식은 어떤게 있나여?? ","안녕하세요~조교선생님이에요~
고등학교에 나오는 방정식이 궁금했나봐요.
이차방정식 
고차방정식
유리방정식
무리방정식
원의 방정식
지수방정식
로그방정식
삼각방정식
미분적분방정식"
권혜정,"선생님! 96쪽 체크문제 1번에서 (4)번 문제요..
식을 만들면 2번째 까지는 2분의 1로 같은데
3번째는 1이라 다르고 4번째도 0이라 달라요.
이러한 경우도 해가 없다고 하나요?
해가 없다는 건 (=)이 부호 다음 수 부터 다른 거 아니였나요?","안녕하세요~조교선생님이에요~
식을 정리한 후 x나 y의 계수를 맞춰 정리한 후에 확인해봐야해요~
 "
